Repository,Language,Commits,Code_churn
https://github.com/apache/cordova.git,,28,879
https://github.com/apache/servicecomb-pack.git,Java,1596,337139
https://github.com/apache/incubator-weex.git,C++,12026,28409551
https://github.com/apache/openwhisk-workshop.git,JavaScript,52,3700
https://github.com/apache/cordova-plugin-screen-orientation.git,JavaScript,202,13890
../repo_buffer/lucene-solr,,34919,18873589
https://github.com/apache/singa.git,C++,2360,1650906
https://github.com/apache/httpcomponents-website.git,CSS,217,40303
https://github.com/apache/infrastructure-puppet.git,Python,12695,954366
https://github.com/apache/dubbo-js.git,TypeScript,606,761030
https://github.com/apache/aurora.git,Java,4091,1475185
../repo_buffer/usergrid,Java,10954,26790556
https://github.com/apache/cordova-plugin-file.git,JavaScript,707,159418
https://github.com/apache/cordova-plugin-network-information.git,Objective-C,297,30261
https://github.com/apache/predictionio.git,Scala,4495,2600389
https://github.com/apache/cordova-js.git,JavaScript,2004,313099
https://github.com/apache/flume.git,Java,1818,835995
https://github.com/apache/incubator-pagespeed-mod.git,C++,5026,6081777
https://github.com/apache/pulsar-client-go.git,Go,414,128387
https://github.com/apache/datasketches-characterization.git,Java,416,178415
https://github.com/apache/incubator-nuttx-website.git,SCSS,101,45242
https://github.com/apache/ant.git,Java,14799,3070817
https://github.com/apache/buildr.git,Ruby,4385,2131195
https://github.com/apache/phoenix.git,Java,3581,1565498
https://github.com/apache/hbase-thirdparty.git,Java,188,10843
https://github.com/apache/tvm-vta.git,Scala,227,100340
https://github.com/apache/incubator-yunikorn-site.git,JavaScript,149,89843
https://github.com/apache/cordova-plugin-file-transfer.git,JavaScript,515,69059
https://github.com/apache/flink-benchmarks.git,Java,164,24023
https://github.com/apache/xmlgraphics-batik.git,Java,3524,1730648
https://github.com/apache/skywalking-client-js.git,TypeScript,188,64710
https://github.com/apache/commons-chain.git,Java,682,110147
https://github.com/apache/skywalking-cli.git,Go,150,40683
https://github.com/apache/skywalking-rust.git,Rust,13,2784
https://github.com/apache/commons-jexl.git,Java,1935,364364
https://github.com/apache/incubator-age-viewer.git,JavaScript,486,1456408
https://github.com/apache/tika-helm.git,Smarty,23,6679
../repo_buffer/roller,Java,4684,5391639
https://github.com/apache/sqoop.git,Java,969,317927
https://github.com/apache/incubator-tuweni.git,Java,974,8437044
https://github.com/apache/airflow-on-k8s-operator.git,Go,17,10513116
https://github.com/apache/openwhisk-runtime-python.git,Jupyter Notebook,842,147392
https://github.com/apache/druid-website.git,HTML,292,3692583
https://github.com/apache/druid-website-src.git,HTML,561,2795557
https://github.com/apache/solr-site.git,HTML,1718,77563410
https://github.com/apache/flink-statefun-playground.git,,5,238
https://github.com/apache/maven-resolver-ant-tasks.git,Java,173,19091
https://github.com/apache/incubator-sdap-nexus.git,Python,130,242366
https://github.com/apache/griffin.git,Scala,638,2660035
https://github.com/apache/sling-whiteboard.git,Java,1663,766282
https://github.com/apache/commons-pool.git,Java,2398,287024
https://github.com/apache/openoffice-externals.git,,3,7
https://github.com/apache/brooklyn-docs.git,JavaScript,1875,547983
https://github.com/apache/arrow-cookbook.git,C++,67,7006
https://github.com/apache/ignite-website.git,HTML,2226,52472875
https://github.com/apache/incubator-pagespeed-cpanel.git,Perl,39,1464
https://github.com/apache/nifi-minifi-cpp.git,C++,1148,8184118
https://github.com/apache/dubbo-kubernetes.git,Java,21,2698
https://github.com/apache/superset-site.git,HTML,149,575955
https://github.com/apache/arrow-testing.git,Shell,92,3025
https://github.com/apache/incubator-teaclave-trustzone-sdk.git,Rust,353,69233
https://github.com/apache/directory-ldap-api.git,Java,5887,6063855
https://github.com/apache/ofbiz-site.git,HTML,375,984893
https://github.com/apache/mynewt-newt.git,Go,1575,3904241
https://github.com/apache/activemq-artemis-native.git,Java,164,14164
https://github.com/apache/streams.git,Java,1781,1406107
https://github.com/apache/commons-configuration.git,Java,3415,935281
../repo_buffer/hadoop-site,,217,174769705
https://github.com/apache/maven-compiler-plugin.git,Java,706,46003
https://github.com/apache/commons-dbcp.git,Java,2477,268753
https://github.com/apache/commons-release-plugin.git,Java,560,27599
https://github.com/apache/commons-digester.git,Java,2193,356270
https://github.com/apache/maven-shared-utils.git,Java,478,71692
https://github.com/apache/lucene-site.git,CSS,1745,77638119
https://github.com/apache/commons-statistics.git,Java,410,106344
https://github.com/apache/maven-dist-tool.git,,338,15935
https://github.com/apache/maven-plugin-tools.git,Java,1072,103048
https://github.com/apache/commons-bcel.git,Java,1753,557589
https://github.com/apache/commons-functor.git,Java,861,169961
https://github.com/apache/commons-jelly.git,Java,1945,420901
https://github.com/apache/commons-parent.git,,1060,25118
https://github.com/apache/maven-dependency-analyzer.git,Java,264,15270
https://github.com/apache/commons-email.git,Java,941,50428
https://github.com/apache/commons-daemon.git,C,1287,133518
https://github.com/apache/tomcat-native.git,C,1171,77792
https://github.com/apache/commons-numbers.git,Java,1183,9550221
https://github.com/apache/maven-file-management.git,Java,151,7050
https://github.com/apache/httpd-tests.git,Perl,2355,103698
https://github.com/apache/skywalking-agent-test-tool.git,Java,33,16249
https://github.com/apache/maven-pdf-plugin.git,Java,332,20535
https://github.com/apache/commons-cli.git,Java,1105,222970
https://github.com/apache/freemarker-generator.git,Java,55,64278
https://github.com/apache/maven-studies.git,,2,23
https://github.com/apache/maven-dependency-tree.git,Java,249,27791
https://github.com/apache/commons-exec.git,Java,700,36286
https://github.com/apache/dubbo-docs.git,,107,9339018
https://github.com/apache/tomee-jakarta.git,Java,190,232097
https://github.com/apache/hbase-native-client.git,C++,150,59630
https://github.com/apache/activemq-cli-tools.git,Java,47,5094
../repo_buffer/dubbo-awesome,,12,94
https://github.com/apache/dubbo-proxy.git,Java,15,1716
https://github.com/apache/commons-codec.git,Java,2147,194252
https://github.com/apache/climate.git,Jupyter Notebook,2241,907925
https://github.com/apache/stdcxx.git,C++,2185,1552441
https://github.com/apache/activemq-cpp.git,C++,3212,2245284
https://github.com/apache/cordova-plugin-splashscreen.git,Java,393,26494
https://github.com/apache/directory-buildtools.git,Java,145,10686
https://github.com/apache/sling-org-apache-sling-testing-sling-mock-oak.git,Java,138,4305
https://github.com/apache/shardingsphere-elasticjob-cloud.git,Java,47,168788
https://github.com/apache/openwhisk-devtools.git,JavaScript,184,26972
https://github.com/apache/rocketmq-exporter.git,Java,94,28753
https://github.com/apache/struts-site.git,HTML,1198,2764067
https://github.com/apache/httpcomponents-core.git,Java,3638,858836
https://github.com/apache/orc.git,HTML,1043,2480164
