Name,URL,Language,size,Oversize?
couchdb-pkg,https://github.com/apache/couchdb-pkg.git,Shell,25925,False
dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project.git,Java,1608,False
couchdb-b64url,https://github.com/apache/couchdb-b64url.git,C,42,False
bigtop,https://github.com/apache/bigtop.git,Groovy,63622,False
wicket,https://github.com/apache/wicket.git,Java,128087,False
flink-statefun,https://github.com/apache/flink-statefun.git,Java,5399,False
plc4x-website,https://github.com/apache/plc4x-website.git,HTML,93777,False
brooklyn-dist,https://github.com/apache/brooklyn-dist.git,Shell,1924,False
brooklyn-server,https://github.com/apache/brooklyn-server.git,Java,43161,False
plc4x-build-tools,https://github.com/apache/plc4x-build-tools.git,Java,13795,False
camel-kameleon,https://github.com/apache/camel-kameleon.git,Java,2339,False
airflow-client-python,https://github.com/apache/airflow-client-python.git,Python,796,False
guacamole-server,https://github.com/apache/guacamole-server.git,C,7696,False
cxf-fediz,https://github.com/apache/cxf-fediz.git,Java,7376,False
commons-compress,https://github.com/apache/commons-compress.git,Java,24758,False
zeppelin,https://github.com/apache/zeppelin.git,Java,98760,False
incubator-livy,https://github.com/apache/incubator-livy.git,Scala,3696,False
sling-org-apache-sling-testing-clients,https://github.com/apache/sling-org-apache-sling-testing-clients.git,Java,358,False
eagle,https://github.com/apache/eagle.git,Java,35666,False
dubbo-samples,https://github.com/apache/dubbo-samples.git,Java,4190,False
incubator-shenyu-dashboard,https://github.com/apache/incubator-shenyu-dashboard.git,JavaScript,9727,False
parquet-format,https://github.com/apache/parquet-format.git,Java,1203,False
sling-org-apache-sling-discovery-standalone,https://github.com/apache/sling-org-apache-sling-discovery-standalone.git,Java,36,False
unomi,https://github.com/apache/unomi.git,Java,15008,False
skywalking-nginx-lua,https://github.com/apache/skywalking-nginx-lua.git,Lua,286,False
mahout,https://github.com/apache/mahout.git,Java,67493,False
flink-docker,https://github.com/apache/flink-docker.git,Shell,446,False
ignite-3,https://github.com/apache/ignite-3.git,Java,6382,False
royale-compiler,https://github.com/apache/royale-compiler.git,Java,88179,False
dubbo-go-hessian2,https://github.com/apache/dubbo-go-hessian2.git,Go,1089,False
openwhisk-website,https://github.com/apache/openwhisk-website.git,HTML,43176,False
openmeetings,https://github.com/apache/openmeetings.git,Java,80586,False
calcite-avatica,https://github.com/apache/calcite-avatica.git,Java,33912,False
skywalking-rocketbot-ui,https://github.com/apache/skywalking-rocketbot-ui.git,Vue,15462,False
directory-server,https://github.com/apache/directory-server.git,Java,71466,False
ranger,https://github.com/apache/ranger.git,Java,102093,False
cordova-coho,https://github.com/apache/cordova-coho.git,JavaScript,1986,False
mina,https://github.com/apache/mina.git,Java,15484,False
skywalking-kubernetes-event-exporter,https://github.com/apache/skywalking-kubernetes-event-exporter.git,Go,146,False
cassandra-website,https://github.com/apache/cassandra-website.git,CSS,63459,False
sling-org-apache-sling-feature-extension-apiregions,https://github.com/apache/sling-org-apache-sling-feature-extension-apiregions.git,Java,461,False
comdev-site,https://github.com/apache/comdev-site.git,HTML,3171,False
guacamole-client,https://github.com/apache/guacamole-client.git,Java,20874,False
couchdb-fauxton,https://github.com/apache/couchdb-fauxton.git,JavaScript,12245,False
servicemix,https://github.com/apache/servicemix.git,Java,4543,False
activemq-apollo,https://github.com/apache/activemq-apollo.git,Java,11124,False
commons-collections,https://github.com/apache/commons-collections.git,Java,20971,False
jackrabbit,https://github.com/apache/jackrabbit.git,Java,60117,False
ofbiz,https://github.com/apache/ofbiz.git,Java,892930,True
incubator-nemo,https://github.com/apache/incubator-nemo.git,Java,23908,False
felix-dev,https://github.com/apache/felix-dev.git,Java,78326,False
james-project,https://github.com/apache/james-project.git,Java,100681,False
helix,https://github.com/apache/helix.git,Java,90375,False
carbondata,https://github.com/apache/carbondata.git,Scala,83322,False
hbase-filesystem,https://github.com/apache/hbase-filesystem.git,Java,215,False
samza,https://github.com/apache/samza.git,Java,33262,False
parquet-cpp,https://github.com/apache/parquet-cpp.git,C++,2700,False
tvm-rfcs,https://github.com/apache/tvm-rfcs.git,,942,False
skywalking-banyandb-java-client,https://github.com/apache/skywalking-banyandb-java-client.git,Java,190,False
incubator-crail,https://github.com/apache/incubator-crail.git,Java,1309,False
allura,https://github.com/apache/allura.git,Python,40980,False
xerces-c,https://github.com/apache/xerces-c.git,C++,24320,False
camel-spring-boot-examples,https://github.com/apache/camel-spring-boot-examples.git,Java,2401,False
cordova-plugin-wkwebview-engine,https://github.com/apache/cordova-plugin-wkwebview-engine.git,Objective-C,220,False
brooklyn-library,https://github.com/apache/brooklyn-library.git,Java,14014,False
servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis.git,Java,18236,False
commons-csv,https://github.com/apache/commons-csv.git,Java,38389,False
cordova-plugins,https://github.com/apache/cordova-plugins.git,,12945,False
pig,https://github.com/apache/pig.git,Java,91308,False
bahir-flink,https://github.com/apache/bahir-flink.git,Java,1296,False
commons-math,https://github.com/apache/commons-math.git,Java,28639,False
struts,https://github.com/apache/struts.git,Java,77324,False
aries-jax-rs-whiteboard,https://github.com/apache/aries-jax-rs-whiteboard.git,Java,1501,False
datasketches-website,https://github.com/apache/datasketches-website.git,HTML,87848,False
sling-org-apache-sling-testing-sling-mock,https://github.com/apache/sling-org-apache-sling-testing-sling-mock.git,Java,880,False
maven-resolver,https://github.com/apache/maven-resolver.git,Java,4053,False
sling-org-apache-sling-feature-launcher,https://github.com/apache/sling-org-apache-sling-feature-launcher.git,Java,284,False
drill-site,https://github.com/apache/drill-site.git,HTML,147624,False
cordova-app-hello-world,https://github.com/apache/cordova-app-hello-world.git,CSS,13687,False
knox,https://github.com/apache/knox.git,Java,20888,False
